epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,557.665,1.54885,2.96625,1.14666,0.22681,0.59963,0.39719,0.20937,1.67975,2.74105,1.09757,0.000644444,0.000644444,0.000644444
2,1040.26,1.54485,1.20222,1.12215,0.58418,0.49925,0.49932,0.26775,1.51626,1.32043,1.09795,0.00118131,0.00118131,0.00118131
